Folder Name,Jobs Unique to GETSOLUTION,Jobs Unique to ResequenceSolution,Jobs Relocated,Jobs Retained,Order Changed,Total Distance (km) (GetSolution),Total Distance (km) (ResequenceSolution),Summary Total Distance (km) (Delta),Total Time (GetSolution),Total Time (ResequenceSolution),Summary Total Time (Delta),Duty Time (GetSolution),Duty Time (ResequenceSolution),Summary Duty Time (Delta),Number of Vehicles Used (GetSolution),Number of Vehicles Used (ResequenceSolution),Summary Number of Vehicles Used (Delta),Delay Time (GetSolution),Delay Time (ResequenceSolution),Summary Delay Time (Delta),Number of JobIds (GetSolution),Number of JobIds (ResequenceSolution),Summary Number of JobIds (Delta),Violations (GetSolution),Violations (ResequenceSolution),Summary Violations (Delta),List of VehicleIds (GetSolution),List of VehicleIds (ResequenceSolution),Summary List of VehicleIds (Delta),Number of Stops (GetSolution),Number of Stops (ResequenceSolution),Summary Number of Stops (Delta)
207353,[],[],[],"['D-220523EF78', 'D-220523EF87', 'C-220523EF81', 'D-220523EF75', 'D-220523EF79', 'D-220523EF90', 'C-220523EF86', 'C-220523EF85', 'D-220523EF77', 'C-220523EF87', 'C-220523EF89', 'D-220523EF89', 'C-220523EF83', 'C-220523EF84', 'D-220523EF88', 'C-220523EF75', 'C-220523EF76', 'D-220523EF86', 'C-220523EF91', 'D-220523EF84', 'C-220523EF78', 'D-220523EF81', 'C-220523EF77', 'C-220523EF82', 'C-220523EF79', 'C-220523EF90', 'C-220523EF88', 'D-220523EF91', 'Depot', 'D-220523EF80', 'D-220523EF76', 'D-220523EF85', 'D-220523EF82', 'C-220523EF80', 'D-220523EF83']",True,222.629,185.323,-37.30600000000004,0 days 03:13:20,0 days 02:50:29,0.0,0 days 05:20:30,0 days 05:20:30,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,35,35,0.0,[],[],0.0,['Vehicle1'],['Vehicle1'],0.0,15,15,0.0
207458,[],"['C-250523NA15', 'D-250523NA15']",[],"['C-250523NA13', 'Depot', 'D-250523NA14', 'D-250523NA13', 'C-250523NA14', 'D-250523NA12', 'C-250523NA12', 'C-250523NA11', 'D-250523NA11']",True,34.46,47.737,13.276999999999994,0 days 00:38:43,0 days 00:52:10,0.0,0 days 02:36:32,0 days 06:55:09,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,9,11,2.0,[],"[{'$id': '15', 'VehicleName': 'Vehicle1', 'ShiftNumber': 0, 'Violations': [{'$id': '16', 'ViolationId': 6, 'DriverId': None, 'VehicleId': None, 'JobId': 'C-250523NA15', 'Degree': 0, 'Load': {'$id': '17', 'Weight': 0.0, 'Quantity': 0.5, 'Volume': 0.0, 'HighPallet': 0.0}}, {'$id': '18', 'ViolationId': 8, 'DriverId': 'Driver1', 'VehicleId': None, 'JobId': None, 'Degree': 10428000000, 'Load': None}]}]",0.0,['Vehicle1'],['Vehicle1'],0.0,5,6,1.0
207568,[],[],[],"['D-290523EF20', 'C-290523EF16', 'C-290523EF18', 'D-290523EF17', 'C-290523EF21', 'C-290523EF13', 'D-290523EF16', 'C-290523EF19', 'D-290523EF18', 'D-290523EF13', 'C-290523EF15', 'D-290523EF19', 'C-290523EF20', 'D-290523EF14', 'Depot', 'C-290523EF14', 'D-290523EF21', 'C-290523EF17', 'D-290523EF15']",True,454.097,454.64699999999993,0.5499999999999545,0 days 04:03:34,0 days 04:03:23,0.0,0 days 02:30:00,0 days 02:30:00,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,19,19,0.0,[],[],0.0,['Vehicle1'],['Vehicle1'],0.0,6,6,0.0
207572,[],[],[],"['C-290523EF66', 'D-290523EF74', 'C-290523EF71', 'C-290523EF74', 'C-290523EF58', 'D-290523EF58', 'C-290523EF69', 'D-290523EF70', 'D-290523EF69', 'D-290523EF62', 'D-290523EF65', 'D-290523EF73', 'C-290523EF61', 'D-290523EF61', 'D-290523EF63', 'C-290523EF64', 'D-290523EF71', 'C-290523EF59', 'D-290523EF75', 'C-290523EF65', 'C-290523EF67', 'C-290523EF70', 'C-290523EF75', 'D-290523EF59', 'C-290523EF73', 'C-290523EF63', 'D-290523EF72', 'D-290523EF68', 'D-290523EF64', 'C-290523EF62', 'D-290523EF60', 'D-290523EF66', 'Depot', 'C-290523EF72', 'C-290523EF60', 'D-290523EF67', 'C-290523EF68']",True,276.503,271.863,-4.639999999999986,0 days 03:56:42,0 days 03:46:58,0.0,0 days 05:59:30,0 days 05:59:30,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,37,37,0.0,[],[],0.0,['Vehicle1'],['Vehicle1'],0.0,18,18,0.0
207597,[],"['C-300523EF36', 'D-300523EF36', 'C-300523EF40', 'D-300523EF40']",[],"['D-300523EF26', 'C-300523EF25', 'C-300523EF20', 'D-300523EF31', 'C-300523EF29', 'D-300523EF19', 'D-300523EF27', 'C-300523EF39', 'D-300523EF22', 'C-300523EF21', 'C-300523EF38', 'C-300523EF28', 'C-300523EF35', 'D-300523EF33', 'C-300523EF26', 'D-300523EF30', 'D-300523EF24', 'C-300523EF22', 'C-300523EF23', 'D-300523EF23', 'D-300523EF39', 'D-300523EF32', 'C-300523EF19', 'C-300523EF33', 'D-300523EF21', 'D-300523EF29', 'C-300523EF24', 'Depot', 'C-300523EF34', 'D-300523EF37', 'C-300523EF37', 'D-300523EF38', 'C-300523EF30', 'D-300523EF20', 'C-300523EF31', 'D-300523EF34', 'D-300523EF28', 'C-300523EF27', 'C-300523EF32', 'D-300523EF25', 'D-300523EF35']",True,287.368,312.0609999999999,24.692999999999927,0 days 03:26:11,0 days 03:48:32,0.0,0 days 05:33:30,0 days 06:16:00,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,41,45,4.0,[],"[{'$id': '49', 'VehicleName': 'Vehicle1', 'ShiftNumber': 0, 'Violations': [{'$id': '50', 'ViolationId': 8, 'DriverId': 'Driver1', 'VehicleId': None, 'JobId': None, 'Degree': 56807999408, 'Load': None}]}]",0.0,['Vehicle1'],['Vehicle1'],0.0,16,18,2.0
207603,"['D-300523EF138', 'C-300523EF138']",[],[],"['C-300523EF137', 'C-300523EF141', 'C-300523EF146', 'C-300523EF143', 'D-300523EF145', 'C-300523EF147', 'C-300523EF139', 'D-300523EF141', 'C-300523EF140', 'D-300523EF135', 'D-300523EF142', 'C-300523EF134', 'C-300523EF135', 'D-300523EF137', 'D-300523EF140', 'C-300523EF136', 'D-300523EF146', 'D-300523EF136', 'D-300523EF139', 'D-300523EF134', 'D-300523EF143', 'C-300523EF144', 'D-300523EF144', 'C-300523EF145', 'C-300523EF142', 'Depot', 'D-300523EF148', 'D-300523EF147', 'C-300523EF148']",True,101.438,46.17600000000001,-55.26199999999999,0 days 01:56:00,0 days 00:55:16,0.0,0 days 04:52:30,0 days 04:35:00,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,31,29,-2.0,[],[],0.0,['Vehicle1'],['Vehicle1'],0.0,14,13,-1.0
207628,[],[],[],"['C-300523CLA14', 'D-300523CLA13', 'Depot', 'D-300523CLA11', 'D-300523CLA14', 'C-300523CLA12', 'D-300523CLA15', 'D-300523CLA12', 'C-300523CLA11', 'C-300523CLA13', 'C-300523CLA15']",True,68.066,89.89800000000001,21.832000000000008,0 days 01:04:36,0 days 01:27:26,0.0,0 days 02:12:00,0 days 02:12:00,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,11,11,0.0,[],[],0.0,['Vehicle1'],['Vehicle1'],0.0,6,6,0.0
207634,[],"['D-310523EF31', 'C-310523EF31']",[],"['D-310523EF22', 'D-310523EF24', 'D-310523EF21', 'D-310523EF25', 'D-310523EF18', 'C-310523EF25', 'C-310523EF27', 'C-310523EF23', 'D-310523EF29', 'C-310523EF19', 'C-310523EF17', 'D-310523EF17', 'D-310523EF26', 'D-310523EF23', 'D-310523EF20', 'C-310523EF18', 'C-310523EF28', 'C-310523EF22', 'D-310523EF27', 'C-310523EF29', 'D-310523EF16', 'C-310523EF20', 'D-310523EF19', 'C-310523EF30', 'C-310523EF21', 'Depot', 'C-310523EF26', 'D-310523EF30', 'D-310523EF28', 'C-310523EF24', 'C-310523EF16']",True,344.9169999999999,363.815,18.898000000000025,0 days 03:56:50,0 days 04:12:05,0.0,0 days 04:54:30,0 days 05:14:30,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,31,33,2.0,[],"[{'$id': '37', 'VehicleName': 'Vehicle1', 'ShiftNumber': 0, 'Violations': [{'$id': '38', 'ViolationId': 8, 'DriverId': 'Driver1', 'VehicleId': None, 'JobId': None, 'Degree': 16035998880, 'Load': None}]}]",0.0,['Vehicle1'],['Vehicle1'],0.0,14,15,1.0
207712,"['D-020623EF73', 'C-020623EF73', 'D-020623EF74', 'C-020623EF74']",[],[],"['C-020623EF70', 'D-020623EF78', 'D-020623EF77', 'D-020623EF72', 'D-020623EF80', 'D-020623EF79', 'C-020623EF71', 'D-020623EF69', 'D-020623EF76', 'C-020623EF75', 'D-020623EF81', 'D-020623EF70', 'C-020623EF82', 'C-020623EF80', 'D-020623EF71', 'D-020623EF75', 'C-020623EF76', 'C-020623EF69', 'C-020623EF79', 'Depot', 'C-020623EF78', 'C-020623EF83', 'C-020623EF81', 'D-020623EF82', 'C-020623EF77', 'C-020623EF72', 'D-020623EF83']",True,108.94899999999998,108.94899999999998,0.0,0 days 01:28:38,0 days 01:28:38,0.0,0 days 04:10:00,0 days 04:05:00,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,31,27,-4.0,[],[],0.0,['Vehicle1'],['Vehicle1'],0.0,11,11,0.0
207717,[],[],[],"['D-020623EF149', 'D-020623EF148', 'C-020623EF151', 'Depot', 'C-020623EF149', 'D-020623EF151', 'D-020623EF150', 'C-020623EF148', 'C-020623EF150']",True,201.093,214.077,12.98399999999998,0 days 02:17:20,0 days 02:25:51,0.0,0 days 02:35:00,0 days 02:35:00,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,9,9,0.0,[],"[{'$id': '13', 'VehicleName': 'Vehicle1', 'ShiftNumber': 0, 'Violations': [{'$id': '14', 'ViolationId': 7, 'DriverId': 'Driver1', 'VehicleId': 'Vehicle1', 'JobId': None, 'Degree': 1, 'Load': None}]}]",0.0,['Vehicle1'],['Vehicle1'],0.0,3,3,0.0
